arxiv_id,published,title,authors,category,matched_keywords,url,abstract
2606.19068v1,2026-06-17,High-$p_{\rm T}$ physics and jet production,Francesco Giuli,hep-ex,"jet, jet substructure, non-perturbative",http://arxiv.org/abs/2606.19068v1,"Jet production is the dominant high-$p_{\rm T}$ process at hadron colliders and provides a central testing ground for perturbative QCD, parton distribution functions and determinations of the strong coupling. This contribution summarises recent measurements of inclusive-jet, dijet and jet-multiplicity observables presented at DIS2026, with emphasis on the interplay between experimental precision, next-to-next-to-leading-order predictions, non-perturbative and electroweak corrections, and the treatment of correlated systematic uncertainties. Inclusive jet measurements from CMS and ATLAS constrain the gluon distribution at large Bjorken $x$ and enable extractions of $α_s(m_Z)$ compatible with the world average. Dijet measurements provide complementary sensitivity through the dijet invariant mass, rapidity separation and longitudinal boost, while ratios of inclusive jet multiplicities reduce several experimental and PDF uncertainties and directly probe additional QCD radiation. Recent progress in jet-energy calibration, together with new results from RHIC, ALICE and CMS on jet substructure and heavy-quark radiation, illustrates the breadth of current high-$p_{\rm T}$ jet physics and its relevance for Run~3 and future global PDF analyses."
2606.18460v1,2026-06-16,ParticleTransformer is all you need for reconstructing hadronic tau leptons,Nalong-Norman Seeba; Laurits Tani; Torben Lange; Joosep Pata,hep-ex,jet,http://arxiv.org/abs/2606.18460v1,"The large number of $Z \rightarrow ττ$ events expected during the TeraZ program at FCC-ee will allow for precision measurements and searches for physics beyond the Standard Model, requiring accurate reconstruction of hadronically decaying tau leptons. This reconstruction is particularly challenging due to the presence of undetected neutrinos and the diverse topology of hadronic tau decays, making the design of robust heuristic reconstruction algorithms challenging. In this work, we present the first fully machine learned hadronic tau reconstruction approach tuned for FCC-ee studies. The reconstruction is formulated as a set of complementary tasks, including tau identification, decay mode classification, charge reconstruction, and full four-momentum regression. The algorithms are evaluated on fully simulated electron--positron collision samples with realistic detector effects using the CLD detector setup. We compare dedicated task-specific models with a unified multi-task model and quantify their performance in a granular manner across all reconstruction tasks. Both approaches achieve per-mille-level tau mis-identification rates at high signal efficiency, decay mode classification F1 scores of up to 0.95 for the dominant channels, and sub-per-mille charge mis-identification rates, outperforming a conventional jet-charge estimator by up to two orders of magnitude. For the full kinematic reconstruction, the models achieve per-mille-level angular resolution and percent-level visible transverse momentum resolution, exceeding the performance of reconstruction-level jet observables. The resulting models provide a realistic high-performance solution for hadronic tau reconstruction at FCC-ee, offering identification, charge discrimination, decay mode analysis and full kinematic reconstruction."
2606.17993v1,2026-06-16,From target to projectile: CSS evolution of quark TMD in different light-cone gauges,Tolga Altinoluk; Guillaume Beuf; Jamal Jalilian-Marian; Mirja Tevio,hep-ph,resummation,http://arxiv.org/abs/2606.17993v1,"We calculate the one-loop corrections to the quark TMD in the projectile light-cone gauge using the background field formalism, with the Mandelstam-Leibbrandt (ML) prescription for the extra singularity present in the light-cone gauge propagator. We use the pure rapidity regulator for rapidity divergences. The Collins-Soper-Sterman (CSS) evolution equations are obtained after one-loop renormalization of the quark TMD in this gauge. We discuss how the structure of the rapidity divergences and the double-logarithmic contributions to the CSS resummation compares with the analogous calculation performed in the target light-cone gauge, and discuss the implications for the connection between the TMD factorization and Color Glass Condensate frameworks."
2606.17760v1,2026-06-16,Measurement of isolated photon plus two-jet correlations in Pb+Pb and $pp$ collisions at 5.02 TeV with ATLAS, ATLAS Collaboration,nucl-ex,"jet, jet quenching",http://arxiv.org/abs/2606.17760v1,"This paper presents a measurement of photon plus two-jet events in $pp$ and Pb+Pb collisions, i.e. events in which the transverse momentum of a single photon is balanced by two distinct jets. The measurement was performed using $pp$ data taken in 2017 with an integrated luminosity 260 pb$^{-1}$, and Pb+Pb data taken in 2018 with an integrated luminosity 1.72 nb$^{-1}$, both at $\sqrt{s_\mathrm{NN}}$ =5.02 TeV, as recorded by the ATLAS detector. Events with photons in the transverse momentum range 90-180 GeV and at least two anti-$k_t$ $R = 0.2$ jets with a $p_\mathrm{T}$ > 30 GeV are selected, and three observables are measured: ${\mathrm{x}}_{\mathrm{JJ}γ}$, $\mathrm{A}_{\mathrm{JJ}γ}$, and $ΔR_{\mathrm{JJ}}$. These observables characterise the overall energy loss of the multiparton system from medium interactions (${\mathrm{x}}_{\mathrm{JJ}γ}$), the relative energy loss between the two colour-charge carriers ($\mathrm{A}_{\mathrm{JJ}γ}$), and medium-induced modifications to their opening angle ($ΔR_{\mathrm{JJ}}$). The observables are corrected for uncorrelated combinatoric background contributions using a novel multijet mixing technique, for photon purity, and for detector resolution effects via iterative unfolding. Final results are presented per photon, and the ratio ($I_\mathrm{AA}$) is taken between measurements in Pb+Pb and $pp$ collisions, for Pb+Pb centrality intervals of 30-80%, 10-30%, and 0-10%. Significant suppression of per photon two-jet yields in all three observables, $I_\mathrm{AA} < 1$, is observed as a result of parton-medium interactions. The experimental measurements are compared to three different jet quenching models: JEWEL, JETSCAPE, and LBT."
2606.17133v1,2026-06-15,Short-Range Correlations Between Partons in a Proton,Jen-Chieh Peng; Krishna Rajagopal; John Terry,hep-ph,jet,http://arxiv.org/abs/2606.17133v1,"A principal lesson from recreating droplets of quark-gluon plasma (QGP) in heavy ion collisions is that it is a strongly coupled liquid, not a plasma of partons. The energy density and pressure of quarks and gluons confined within a proton are comparable to those of QGP at or just above the QCD transition temperature. Given this similarity between protons and QGP, we propose that the investigation of correlations between nearby partons within a proton must be a central goal for the future Electron-Ion Collider (EIC). Here, we ask how EIC measurements can discern such short-range correlations (SRCs) of quark pairs. Doing so would characterize the strongly coupled interior of a proton, augmenting the one-parton-at-a-time understanding of protons via (generalized) parton distribution functions, and could at the same time yield a key ingredient for the microscopic understanding of the liquid nature of QGP. Motivated by the experiments that have been used to demonstrate the existence of SRCs between nucleon pairs within a nucleus, we propose using EIC observables involving measurements of a jet and a pion, together with the scattered electron, to seek and quantify the possible existence of SRCs between quark pairs within a nucleon. The pronounced isospin dependence observed in the dominance of $np$ SRCs over $pp$ or $nn$ SRCs has played a central role in establishing the importance of SRCs among nucleons in nuclei. Analogously, the QCD attraction in the $ud$ diquark channel can make the $ud$ SRC stronger than the $uu$ and $dd$ SRCs, allowing a first observation of partonic SRCs."
2606.17003v1,2026-06-15,Hadronic tensor in lattice gauge theories by quantum computing,Dairui Zou; Tianyin Li; Jian Liang; Enke Wang; Hongxi Xing,hep-ph,non-perturbative,http://arxiv.org/abs/2606.17003v1,"The hadronic tensor encodes crucial information regarding the internal structure of hadrons, reflecting the non-perturbative features of quantum chromodynamics (QCD). In this work, we directly compute the hadronic tensor within (1+1)-dimensional $\rm U(1)$ and $\rm SU(2)$ gauge theories by evaluating real-time current-current correlation functions. Utilizing quantum algorithms executed on classical hardware, we demonstrate that the hadron form factors for both meson and baryon states can be reliably extracted from the hadronic tensor. Our methodology is validated by strong agreement with both direct calculation and exact diagonalization of the form factors."
2606.16966v1,2026-06-15,Spin-Selective Hadron Spectroscopy via Azimuthal Anisotropies from Entanglement-Enabled Spin Interference,Samuel Corey; James Daniel Brandenburg,hep-ph,non-perturbative,http://arxiv.org/abs/2606.16966v1,"The $π^+π^-$ invariant mass spectrum above the $ρ^0(770)$ is rich with broad, overlapping resonances. Disentangling them, whether in photoproduction, ultra-peripheral heavy-ion collisions, or electroproduction, is a longstanding challenge for conventional partial-wave analysis. We show that the recently observed entanglement-enabled spin-interference effect in ultra-peripheral collisions provides a quantum-mechanical filter that resolves this ambiguity: the angular harmonics $A_n$ of the $\cos(nΔφ)$ asymmetry, which are governed by selection rules in the spin of the interfering states. Specifically, overlap between two distinct spin-1 amplitudes leads to interference that populate $A_2$ alone, while overlap of a spin-1 amplitude with a spin-2 one generates $A_1$ and $A_3$. Utilizing ALICE data in the $1.0$--$1.4\,\mathrm{GeV} \; c^{-2}$ region, we demonstrate that two physically distinct hypotheses -- an additional spin-1 $ρ'(1450)$ (produced via photonuclear interactions) versus a spin-2 (photon-photon) $f_2(1270)$ state -- fit the invariant mass spectrum equally well but predict different $A_n$: identically zero $A_1$ and $A_3$ in the spin-1 case, versus pronounced peaks in the spin-2 case. This selection rule provides a new tool for hadronic spectroscopy in ultra-peripheral collisions and the first viable route to isolating the $γγ\toπ^+π^-$ continuum from the dominant photonuclear background, revealing a clean low-energy probe of non-perturbative QCD."
2606.15957v1,2026-06-14,Axiverse Strings Resolved,Rudin Petrossian-Byrne; Giovanni Villadoro,hep-ph,non-perturbative,http://arxiv.org/abs/2606.15957v1,"Axiverse cosmic strings are resolved by non-perturbative string states with large tension. We show how, in some regions of moduli space, they dissolve into low-tension configurations that are fully captured by field-theoretic solitonic solutions, such as 't Hooft-Polyakov-like strings, allowing a post-inflationary cosmology within the original axiverse paradigm."
2606.15773v1,2026-06-14,CKM determination from $W$ decays with jet flavor tagging at CEPC,Zhao-Ling Zhang; Li-Bo Liao; Jia-Rong Li; Jia-Bao Gong; Wei-Min Song; Gang Li,hep-ex,jet,http://arxiv.org/abs/2606.15773v1,"This study investigates the sensitivity of the CEPC to CKM matrix elements $|V_{ij}|$ in semileptonic $W$-pair decays using simulated $e^+e^- \to W^+W^- \to μν\bar{q}q^\prime$ samples corresponding to $21.6\,\mathrm{ab}^{-1}$ at $\sqrt{s}=240\,\mathrm{GeV}$, with $|V_{ub}|$ excluded because of its negligible contribution. The projected statistical precisions reach $0.59\,\%$ for $|V_{cb}|$ and $0.01\,\%$ for $|V_{cs}|$, indicating that the CEPC can provide direct, high-precision, and largely model-independent determinations of CKM matrix elements from hadronic $W$ decays. The main sources of systematic uncertainty are discussed, and further improvements are expected from both experimental and theoretical developments, including dedicated data-driven calibrations of detector response and jet flavor tagging performance, as well as more precise higher-order calculations of the relevant electroweak and QCD corrections. Such measurements would provide stringent consistency tests of the Standard Model charged-current flavor structure and offer sensitivity to possible new physics effects through deviations from the Standard Model expectations."
2606.15316v1,2026-06-13,Particle and Gravitational Wave Probes of Minimal Seesaw Neutrinos,Sanjoy Mandal; Rishav Roshan; Jose W. F. Valle,hep-ph,jet,http://arxiv.org/abs/2606.15316v1,"Observable gravitational waves (GWs) from first-order phase transitions (FOPTs) can coexist with distinct particle physics signatures. These include same-sign dilepton plus four~jet events at colliders, such as $e^+ e^-/μ^+μ^- \to \ell^\pm \ell^\pm 4j$, neutrinoless double beta decay, as well as charged lepton flavor violating (cLFV) processes such as $μ\to e γ$. We explore this synergy within the minimal low-scale linear seesaw model. This framework successfully reproduces neutrino oscillation data, providing a direct avenue to probe the neutrino mass ordering and Majorana nature at colliders. Crucially, the FOPT responsible for the GW background is driven by a leptophilic Higgs doublet, establishing a direct link between early-universe cosmology and terrestrial laboratory experiments."
